TimeStamp,"Team Name (you can have fun with this, but please keep it appropriate :)",Team Captain Discord Username(s),Rostered Player 1 Discord Username,Rostered Player 1 Overstat Link,Rostered Player 2 Discord Username,Rostered Player 2 Overstat Link,Rostered Player 3 Discord Username,Rostered Player 3 Overstat Link,Have you and your teammates played in VESA Apex leagues before? (this does not include scrims/community events),How familiar is your team with competitive apex?,What is the average rank of your team?,What platform does your team play on?,Are there any days of the week your team CAN NOT play? (We can't promise to accommodate you as leagues are separated by skill),Additional Comments
6/20/2025 11:58:08,Dadbod Squad,tsfmonty,tsfmonty,https://overstat.gg/player/1120369.tsfmonty/overview,coleirwin5,https://overstat.gg/player/1120370.Doctor%20Eloc/overview,lariless,https://overstat.gg/player/1120371.%5BDAD%5D%20Nars%20Lootbaar/overview,"Yes, all 3 have",5,Platinum,"Some PC, some console",Thursday,
6/20/2025 13:34:41,Goblin Gang,Chefmike & BacktoBeingAngryS0da,ChefMike,https://overstat.gg/player/1374032/overview,backtobeingangrys0da,https://overstat.gg/player/775129/overview,Chermy,https://overstat.gg/player/1566063/overview,"Yes, all 3 have",4,Diamond,"Some PC, some console",Wednesday,At the moment wednesdays are really difficult for me(Mike)
6/20/2025 13:35:28,The Misfits,E4ticate13,Er4ticate13,https://overstat.gg/player/3380059.eR4Ticate13/overview,A_Fox_With_Sox,https://overstat.gg/player/3380058.A_Fox_With_Sox/overview,Lonewolf4114,https://overstat.gg/player/4170338.lonewolf4114/overview,"2 of us have, 1 has not",4,Platinum,All console,Thursday,
6/20/2025 13:35:34,Team Hibiscus,Twelvegage8,Twelvegage8,https://overstat.gg/player/662120.BF%20TwelveGage/overview,Winterdeadeye,https://overstat.gg/player/146716.TH_winterdeadeye/overview,Balynce,https://overstat.gg/player/2459695.BalynceLIVE/overview,"Yes, all 3 have",5,Platinum,All PC,Thursday,
6/20/2025 13:35:42,Code Escape,Lawlipawp,Lawlipawp,https://overstat.gg/player/1614092.Lawlipawp/overview,author_kj,https://overstat.gg/player/1120434/overview,jinkx.,https://overstat.gg/player/1614093/overview,"Yes, all 3 have",5,Platinum,All PC,No Scheduling Issues,
6/20/2025 13:36:00,Yams in Paris,Hova,Hova,https://overstat.gg/player/753391/overview,goddamnironman,https://overstat.gg/player/969984/overview,Coveted Yams,https://overstat.gg/player/2237719/overview,"Yes, all 3 have",4,Diamond,All PC,Thursday,CLOB
6/20/2025 13:37:10,Trauma Queens,BECKA,BECKA,https://overstat.gg/player/1766184.BeckaBTW/overview,A_MF_PRINCESS,https://overstat.gg/player/1720731/overview,MYRTLE SQUIRTLE,https://overstat.gg/player/2511375/overview,"2 of us have, 1 has not",4,Diamond,All PC,No Scheduling Issues,
6/20/2025 13:37:37,ONYX,lumdum,lumdum,https://overstat.gg/player/77595/overview,l6mi,https://overstat.gg/player/405218/overview,anteatter,https://overstat.gg/player/164535/overview,"Yes, all 3 have",5,Masters,All PC,"Monday, Wednesday",
6/20/2025 13:37:43,Nessies For You,Rakkideeznuts,Rakkideeznuts,https://overstat.gg/player/20570/overview,Haki305,https://overstat.gg/player/1111463.PT%20%7C%20Haki/overview,Kevin100000,https://overstat.gg/player/2412059.Kexis_Arijia/overview,"Yes, all 3 have",5,Diamond,All PC,No Scheduling Issues,
6/20/2025 13:39:04,Fish Frydays,ImTheBigFork,ImTheBigFork,https://overstat.gg/player/21918.ImTheBigFork/overview,turtlfps,https://overstat.gg/player/82132.TurtlFPS/overview,vivirya,https://overstat.gg/player/21929.ryatake/overview,None of us have played in the void leagues before,5,Diamond,All PC,Thursday,"we should be good for every day, however it forced me to select at least one of the days lol"
