Rank,Player Name,Total Points,Kills,Damage
187,F5 | Big Ab,163.50,24,0
188,[Experimental AI Bot]29.319.17,163.20,24,0
189,HotKnockz,163.00,24,0
190,Kitkat >:),163.00,25,0
191,PRDX_Ayywire,161.98,26,0
192,XI PuGz,161.78,27,0
193,旋風,161.40,21,0
194,FSC | SantaKlaus,160.84,29,0
195,Coveted Yams,159.77,24,0
196,Calbeast,159.72,21,0
197,Xyrosec,158.52,23,0
198,///Mikey,158.20,23,0
199,addedayo,157.82,28,0
200,MoistKnight2443,157.10,24,0
201,A_MF_Queen,156.78,27,0
202,Figgy14,156.16,25,0
203,FTB | steph,156.08,24,0
204,LVS_TurtleMan,156.00,17,0
205,Chudbudwalker,155.60,25,0
206,BklynzKilla90,154.40,22,0
207,Aero,152.60,21,0
208,TTV/Fishiness,151.73,26,0
209,Bungus Elite,151.21,23,0
210,Exillade,150.00,22,0
211,snowyday_,149.87,24,0
212,Beanboy,149.32,24,0
213,StingraySlapper,148.91,24,0
214,AngryS0da,148.66,23,0
215,Bolbi Stroganovsky,148.00,22,0
216,indigocross92,147.78,19,0
217,oalios,147.60,16,0
218,Haki,147.60,18,0
219,ENVYxSkillet,146.40,20,0
220,RBD yonewdaddy,146.37,23,0
221,TurtlFPS,146.20,19,0
222,THEOZINBOY,146.00,20,0
223,I_am_that_guy_59,145.72,20,0
224,Raz,145.60,23,0
225,DEKTA_TTV,145.40,21,0
226,Penguinii,145.00,20,0
227,AS1AN M1KE,144.72,23,0
228,EST Wattzz,143.60,18,0
229,Mysteryz,143.50,20,0
230,TGUN_Turtle,141.40,19,0
231,impish,140.34,22,0
232,F5 | ntROZE,139.80,21,0
233,OpNate,139.64,23,0
234,offkilter,138.92,21,0
235,eR4Ticate13,138.81,24,0
236,Truth,138.00,18,0
237,DWE TTV Teach Da Youth,137.59,21,0
238,@ArtemisGG_,137.59,19,0
239,JackHeDoesIt,137.44,23,0
240,K1ng13east,137.23,20,0
241,bookworm669,136.01,22,0
242,Scarab6232,134.88,18,0
243,HecTicAstro,134.56,20,0
244,mer,133.93,22,0
245,KfroJenner69,133.92,20,0
246,Pen5guin,132.50,15,0
247,[DAD] Nars Lootbaar,132.34,20,0
248,SOAK Palms,132.12,19,0
249,laceycs,131.62,20,0
250,OE_MrBr0jangless,131.12,22,0
251,ClarkGriswold,130.84,19,0
252,Keko75FTW,130.68,23,0
253,Supreme,130.34,20,0
254,waz ee,130.00,16,0
255,Frijol3s03,129.80,19,0
256,Eppie,129.53,18,0
257,SilentRyft,129.50,20,0
258,1L Fallen,128.60,19,0
259,F5|GsQ BloomDion,128.50,16,0
260,CJtoSmooth,127.96,19,0
261,WhySoSweatyy,127.83,22,0
262,Meepmoe6,126.94,21,0
263,Unix_IRL,125.80,17,0
264,Cherm,125.70,18,0
265,muchmixture9,125.49,15,0
266,negativerush,124.87,19,0
267,FTB | SliceOfJAO,124.52,19,0
268,Miriahkay19,124.06,21,0
269,narwhal,123.97,21,0
270,Sithopher,123.82,18,0
271,Nedlock ネドロック,123.00,17,0
272,iiNovationii,122.84,18,0
273,MikieDelliii,122.44,20,0
274,R A P T U R E,121.00,13,0
275,FSC | Fishiness,120.84,21,0
276,Karnivorrr,120.26,17,0
277,furryCheese,120.20,17,0
278,CheezySlice,119.85,21,0
279,NRG ltto.,119.60,14,0
280,Twitch | lAlliegatorl,119.20,16,0
281,CG BilliardHorn,118.76,16,0
282,s,117.60,16,0
283,AllieFPS | Twitch,115.00,13,0
284,AverageDrae,113.91,17,0
285,lonewolf4114,113.81,19,0
286,iklipsa,113.56,19,0
287,the-optimistic-stoic,111.36,16,0
288,SpectacularlyAvg,111.19,19,0
289,YoTakeItEezy,111.19,16,0
290,ayla,110.84,15,0
291,chris k,110.50,14,0
292,XHANABUSER,109.80,11,0
293,fyf,109.20,14,0
294,OE_remydees,109.03,19,0
295,Greywaren99,108.78,17,0
296,Tomboys > Femboys,107.60,10,0
297,Epickiller17,107.50,9,0
298,Slim_Thor on twitch,106.00,18,0
299,DirtyVerdy_,105.51,18,0
300,phokkyu,104.42,14,0
301,SoleSky,104.42,14,0
302,Hud,104.33,15,0
303,A_Fox_With_Sox,103.81,17,0
304,EXL Unordinary ekiM,103.20,12,0
305,XEL.Bpsword.Twitch,102.96,14,0
306,Samus54,102.66,17,0
307,Drizzy,101.50,16,0
308,TONYPIKACHU,101.20,12,0
309,Prosperitv,101.17,17,0
310,MaschidezinTV,101.16,14,0
311,Sleeping,100.00,11,0
312,RG_ItsNick,99.80,16,0
313,EXL_LEEROYY,98.60,15,0
314,DASLEDGEHAMMER,98.00,7,0
315,CantGetAway,98.00,11,0
316,Tay,97.84,14,0
317,TheHeuman,96.50,9,0
318,RBD Hound,96.36,13,0
319,ZeroGLHF,96.20,11,0
320,Poptart,96.16,15,0
321,Kbertabifida,96.00,16,0
322,i miss her,95.80,13,0
323,AmericanMan,95.60,10,0
324,RG Adam10,94.80,15,0
325,el diablo rojo,94.56,12,0
326,A,94.40,14,0
327,rrroselia,94.07,13,0
328,Haightful,93.92,12,0
329,Diadem2721|Live,93.92,12,0
330,Keosha,93.31,15,0
331,Medic x Frieren,93.20,12,0
332,amieable,92.66,15,0
333,Rvo,92.40,14,0
334,F5 | Stabjackal TTV,92.16,8,0
335,JO x claw,92.03,13,0
336,BACKSP4CEッ,92.00,13,0
337,caro,92.00,13,0
338,Bsteph13,91.65,13,0
339,JRobx,91.19,15,0
340,Revy2hands,91.16,14,0
341,BakedPotato1213,90.75,13,0
342,RG_CPTMurph24,89.80,14,0
343,MJ5044,89.72,7,0
344,Eclipsie13,89.40,9,0
345,@Arise__FPS,89.00,12,0
346,m2,88.40,8,0
347,LVS_Falcon,88.20,11,0
348,siyoshiwakona,88.11,14,0
349,SlyTitan,87.00,13,0
350,mildly boof,86.00,14,0
351,FSC | shape,85.84,14,0
352,Eddy,84.80,10,0
353,Pxrmafrxstt,84.00,10,0
354,Durxy,82.50,11,0
355,BossBBALLER101,82.44,12,0
356,Graffix,81.20,8,0
357,zCrackdown,81.00,5,0
358,Zorro,79.00,11,0
359,Majeta23,75.20,8,0
360,h u s k y,74.85,12,0
361,FALN | cwelk,74.76,12,0
362,estrella,74.60,9,0
363,JFairo,74.40,12,0
364,Gible,73.25,13,0
365,Dom,71.60,10,0
366,splitbomb33,70.09,10,0
367,波打つヘッドハンタ,70.00,8,0
368,EXL_KNGKUMO,69.00,10,0
369,Childish,68.20,11,0
370,jo_morales7,67.03,8,0
371,ZorraAssassin,65.60,10,0
372,avoid,65.00,10,0
373,Hollenberger,64.80,8,0
374,Astris86,63.50,8,0
375,alphabet,63.25,11,0
376,OE_UselessRoyalty,62.87,10,0
377,JustTam1r-TTV,61.48,10,0
378,MayBPh8L,61.27,7,0
379,Sammie,61.17,9,0
380,RedTerror,60.97,10,0
381,snatched lime9,60.50,8,0
382,Kozmohs1,60.00,9,0
383,Medic x HUNTR/X,59.50,7,0
384,TTV | Astris86,57.68,10,0
385,Yarfy,57.20,8,0
386,NuTTy,56.50,8,0
387,KindKitten14,55.60,8,0
388,mind goblin,54.40,8,0
389,twitch.tv/ruiin999,51.50,8,0
390,RetroMrLiquid,49.85,7,0
391,Luzer,49.53,7,0
392,Deltuh,49.00,7,0
393,Inoriboob,49.00,7,0
394,SpaceGhostXero,49.00,7,0
395,groupty,48.50,6,0
396,No Brain,47.00,7,0
397,Joe Dirt,46.64,6,0
398,Kaezuh,45.00,7,0
399,CasualRobi,44.80,6,0
400,@YoJokerz,43.50,6,0
401,MHM_MrBr0janglessTTV,43.20,6,0
402,dash in retirement,43.00,6,0
403,Apogaeon,41.40,3,0
404,harry,41.40,7,0
405,Nilak,40.67,5,0
406,o7 o7 o7,40.50,5,0
407,Arc_PC,39.50,5,0
408,Croh,38.91,6,0
409,Monke,38.25,6,0
410,Droptimus Prime ツ,36.88,6,0
411,Moolboyrk,36.00,4,0
412,Broom,35.50,4,0
413,Big Daddy Busch,35.33,6,0
414,ramshackle786,33.58,5,0
415,ENCRYPTED8704,33.12,4,0
416,gruesome_b1,33.01,4,0
417,angrySandy,32.75,4,0
418,CG honeybee aries,31.60,4,0
419,swagstrfather420,31.56,5,0
420,HTL Danikay,31.05,4,0
421,Uorax,31.00,4,0
422,AP985,30.87,4,0
423,EXL_FLYXSS,29.00,2,0
424,Nyamea,28.60,3,0
425,Sam,28.28,5,0
426,TTV Bubble,28.20,3,0
427,Evoke,28.00,3,0
428,BlueGreek,27.68,4,0
429,SwiftieC,27.26,4,0
430,m3a0w,27.00,3,0
431,ジマー,26.00,3,0
432,hyper o7,26.00,4,0
433,MissingJibbs,25.87,4,0
434,l0tusStar,25.80,3,0
435,rukaaiscool556,25.00,3,0
436,l Belfour l20l,24.62,4,0
437,zewski,24.59,4,0
438,tso,24.50,2,0
439,WarsZ,24.40,2,0
440,ac__ca\vt.hctiwt,24.00,3,0
441,Deadbok_666,23.91,3,0
442,ctrl,23.50,3,0
443,Nando,23.32,4,0
444,JustVibing4829,22.50,2,0
445,nathanbradley54,22.30,2,0
446,7157-8414-2998 on Pokemon Go,22.14,3,0
447,Lime Grass 0,20.61,3,0
448,Aquamarine,20.60,3,0
449,DunnoU,19.50,1,0
450,PING CRUSADER,17.00,2,0
451,lookn4ahopup,16.12,2,0
452,WALLSHIFT,15.80,1,0
453,Huntingfool,15.61,2,0
454,Secrets™,15.50,2,0
455,GN700TM,14.95,2,0
456,DangrClxse,13.48,2,0
457,QWERTY,9.80,1,0
458,Kerckhaert,9.62,1,0
459,Natems1717,9.60,0,0
460,tuna!,9.50,1,0
461,DareOGK on Twitch,9.50,1,0
462,Jubella,9.30,1,0
463,DreadWolf303,9.12,1,0
464,QP,9.00,1,0
465,Heathclips_,8.82,1,0
466,OverratedMax,8.00,0,0
467,TexasTrash9,7.80,1,0
468,萧瑟,6.00,1,0
469,IVIonty,5.76,1,0
470,iButterMyBreadWB,4.50,0,0
471,gmail@ec_doom.com,4.12,0,0
472,RogueKielbasa,2.04,0,0
473,OE Hoodie,1.32,0,0
474,ice tickle,1.20,0,0
475,Toasty,1.00,0,0
476,xJBeach,0.77,0,0
477,IGY6 theeJambro,0.50,0,0
478,WaBBiT,0.00,0,0
