Rank,Player Name,Division,Final Score (70/30),Individual Score,Team Score,Kills,Damage,Lobby Weight
1,Anteatter,Pinnacle (Highest Skill),766.40,920.00,408.00,92,0,1.0
2,KindlyMonkey,Emergent,626.59,830.00,151.98,83,0,0.51
3,LUMI,Pinnacle (Highest Skill),626.40,720.00,408.00,72,0,1.0
4,GRO gLow,Emergent,622.50,820.00,161.67,82,0,0.51
5,FairestOne617,Challengers,616.55,830.00,118.49,83,0,0.41
6,Hylandbound,Challengers,574.93,760.00,143.09,76,0,0.41
7,Bleachh,Pinnacle (Highest Skill),566.40,690.00,278.00,69,0,1.0
8,AiymAPotato,Ascendant,552.78,700.00,209.28,70,0,0.64
9,twitch.tv/kozmohs,Pinnacle (Highest Skill),552.50,680.00,255.00,68,0,1.0
10,Dare,Pinnacle (Highest Skill),543.10,670.00,247.00,67,0,1.0
11,Dusterbia,Ascendant,531.78,670.00,209.28,67,0,0.64
12,TNL_Colt,Pinnacle (Highest Skill),514.80,630.00,246.00,63,0,1.0
13,NickatNi7e,Challengers,502.09,670.00,110.29,67,0,0.41
14,DaS8157,Emergent,489.42,650.00,114.75,65,0,0.51
15,KindKitten13,Vanguard,486.32,620.00,174.40,62,0,0.8
16,BrodE,Pinnacle (Highest Skill),483.40,580.00,258.00,58,0,1.0
17,uFears,Tendies (Lowest Skill),480.71,660.00,62.37,66,0,0.33
18,Hawkeye2552,Challengers,479.50,630.00,128.33,63,0,0.41
19,lumdum,Pinnacle (Highest Skill),473.80,550.00,296.00,55,0,1.0
20,Zaphyツ,Pinnacle (Highest Skill),461.60,560.00,232.00,56,0,1.0
21,Phoenix.MLNT,Ascendant,455.64,570.00,188.80,57,0,0.64
22,NightNight.MLNT,Ascendant,448.64,560.00,188.80,56,0,0.64
23,Protogen Pawjob,Ascendant,442.86,580.00,122.88,58,0,0.64
24,shueisha,Challengers,438.36,570.00,131.20,57,0,0.41
25,Lame A Train,Challengers,434.55,570.00,118.49,57,0,0.41
26,seeby,Pinnacle (Highest Skill),433.70,500.00,279.00,50,0,1.0
27,Groliver86,Ascendant,429.94,530.00,196.48,53,0,0.64
28,Regen,Emergent,425.35,560.00,111.18,56,0,0.51
29,Nopes Ropes,Ascendant,425.13,550.00,133.76,55,0,0.64
30,BigBen1248,Ascendant,420.54,530.00,165.12,53,0,0.64
31,Skratchd_,Ascendant,410.17,530.00,130.56,53,0,0.64
32,ImSh1ny,Ascendant,409.50,520.00,151.68,52,0,0.64
33,Saaaber,Challengers,403.60,530.00,108.65,53,0,0.41
34,OzWaldo,Pinnacle (Highest Skill),402.80,470.00,246.00,47,0,1.0
35,Oshe,Emergent,398.50,500.00,161.67,50,0,0.51
36,FSU_IamAtomicTV,Challengers,396.60,520.00,108.65,52,0,0.41
37,zourafa12,Emergent,395.67,520.00,105.57,52,0,0.51
38,Omnipotene,Pinnacle (Highest Skill),395.60,500.00,152.00,50,0,1.0
39,fpsboone,Ascendant,383.79,500.00,112.64,50,0,0.64
40,kat,Emergent,374.59,470.00,151.98,47,0,0.51
41,Baughty,Challengers,372.40,490.00,97.99,49,0,0.41
42,Doctor Eloc,Tendies (Lowest Skill),362.40,490.00,64.68,49,0,0.33
43,Frank Newcastle,Challengers,361.36,460.00,131.20,46,0,0.41
44,LeaderOfTheBees,Pinnacle (Highest Skill),360.80,410.00,246.00,41,0,1.0
45,asome005,Challengers,356.43,470.00,91.43,47,0,0.41
46,Waly,Ascendant,354.45,460.00,108.16,46,0,0.64
47,Todo_apex,Pinnacle (Highest Skill),353.20,400.00,244.00,40,0,1.0
48,Crash,Ascendant,351.78,440.00,145.92,44,0,0.64
49,MOTL Kahzïne,Pinnacle (Highest Skill),349.80,420.00,186.00,42,0,1.0
50,Fartman,Ascendant,347.94,440.00,133.12,44,0,0.64
51,YANKEE 6 XRAY,Ascendant,347.83,450.00,109.44,45,0,0.64
52,x_howdie_x,Tendies (Lowest Skill),346.92,470.00,59.73,47,0,0.33
53,HaKobo,Challengers,344.40,450.00,97.99,45,0,0.41
54,Cezr,Ascendant,343.26,410.00,187.52,41,0,0.64
55,Gav.MLNT,Ascendant,342.96,420.00,163.20,42,0,0.64
56,Shouli,Pinnacle (Highest Skill),334.70,380.00,229.00,38,0,1.0
57,boobert,Emergent,331.56,440.00,78.54,44,0,0.51
58,DWE Parcifal,Challengers,329.54,430.00,95.12,43,0,0.41
59,DWE Mango,Challengers,329.41,430.00,94.71,43,0,0.41
60,Saki <3,Emergent,328.43,420.00,114.75,42,0,0.51
61,Enderphor,Challengers,328.17,440.00,67.24,44,0,0.41
62,100T sheppyk9,Tendies (Lowest Skill),327.70,440.00,65.67,44,0,0.33
63,Hova,Challengers,322.54,420.00,95.12,42,0,0.41
64,RAGNA_Viper,Tendies (Lowest Skill),320.70,430.00,65.67,43,0,0.33
65,Kevin,Ascendant,320.69,420.00,88.96,42,0,0.64
66,Syndicate50,Challengers,319.60,410.00,108.65,41,0,0.41
67,ColedColedWorld,Ascendant,318.89,390.00,152.96,39,0,0.64
68,ButterMyBreadWB,Vanguard,318.84,390.00,152.80,39,0,0.8
69,ehayes121,Challengers,316.51,420.00,75.03,42,0,0.41
70,Dvpaper,Pinnacle (Highest Skill),316.50,330.00,285.00,33,0,1.0
71,The Real Slim Shady,Tendies (Lowest Skill),316.05,430.00,50.16,43,0,0.33
72,Potter,Emergent,314.65,420.00,68.85,42,0,0.51
73,DarkApex,Pinnacle (Highest Skill),314.50,340.00,255.00,34,0,1.0
74,Jinkx,Ascendant,313.81,380.00,159.36,38,0,0.64
75,Lau,Pinnacle (Highest Skill),310.20,330.00,264.00,33,0,1.0
76,AUTHOR,Ascendant,309.01,380.00,143.36,38,0,0.64
77,xThinkso,Ascendant,307.78,350.00,209.28,35,0,0.64
78,twitch.tv/apguapo,Vanguard,306.40,400.00,88.00,40,0,0.8
79,MannikTV,Ascendant,306.32,380.00,134.40,38,0,0.64
80,garbunk,Vanguard,304.12,370.00,150.40,37,0,0.8
81,OniHeishiVT,Emergent,303.29,390.00,100.98,39,0,0.51
82,SolisStreams,Challengers,303.11,410.00,53.71,41,0,0.41
83,Deetray,Pinnacle (Highest Skill),300.00,360.00,160.00,36,0,1.0
84,bradyvision,Challengers,299.09,380.00,110.29,38,0,0.41
85,Mr_Hands_20,Challengers,294.93,360.00,143.09,36,0,0.41
86,Lawlipawp,Ascendant,294.43,360.00,141.44,36,0,0.64
87,Pandaz809,Emergent,290.59,350.00,151.98,35,0,0.51
88,zegion,Vanguard,290.12,350.00,150.40,35,0,0.8
89,Kryo,Vanguard,288.48,360.00,121.60,36,0,0.8
90,Mootzel,Emergent,284.40,370.00,84.66,37,0,0.51
91,JuiceboxSlays (washed),Challengers,283.34,380.00,57.81,38,0,0.41
92,GGMantisToboggan,Challengers,281.40,360.00,97.99,36,0,0.41
93,Zboy5z5,Pinnacle (Highest Skill),281.10,300.00,237.00,30,0,1.0
94,A Big Ahh Turd,Pinnacle (Highest Skill),276.70,310.00,199.00,31,0,1.0
95,Draigo,Vanguard,276.40,340.00,128.00,34,0,0.8
96,DosEquisMan,Tendies (Lowest Skill),274.05,370.00,50.16,37,0,0.33
97,Hobojo,Emergent,273.76,350.00,95.88,35,0,0.51
98,Gator Needs His Gat,Emergent,271.47,350.00,88.23,35,0,0.51
99,hatch,Vanguard,271.12,340.00,110.40,34,0,0.8
100,claud,Tendies (Lowest Skill),270.22,360.00,60.72,36,0,0.33
101,ejustice74,Ascendant,269.89,320.00,152.96,32,0,0.64
102,jaundyy666,Vanguard,266.96,320.00,143.20,32,0,0.8
103,zG_Stifle,Challengers,266.88,360.00,49.61,36,0,0.41
104,MOTL DduckyG,Challengers,266.55,330.00,118.49,33,0,0.41
105,TH | winterdeadeye,Ascendant,265.56,330.00,115.20,33,0,0.64
106,pat,Emergent,264.93,340.00,89.76,34,0,0.51
107,Jakoby,Pinnacle (Highest Skill),264.10,280.00,227.00,28,0,1.0
108,Krit,Tendies (Lowest Skill),262.99,360.00,36.63,36,0,0.33
109,Jack,Tendies (Lowest Skill),261.70,360.00,32.34,36,0,0.33
110,Frogs,Emergent,260.34,340.00,74.46,34,0,0.51
111,LVS_Soda,Pinnacle (Highest Skill),259.60,310.00,142.00,31,0,1.0
112,An7,Pinnacle (Highest Skill),258.80,290.00,186.00,29,0,1.0
113,eidolon,Pinnacle (Highest Skill),252.80,290.00,166.00,29,0,1.0
114,goddamnironman,Challengers,252.54,320.00,95.12,32,0,0.41
115,SOAK Wobbla,Emergent,251.31,300.00,137.70,30,0,0.51
116,FlareNotFlair,Pinnacle (Highest Skill),251.10,300.00,137.00,30,0,1.0
117,Double-Take,Vanguard,250.80,300.00,136.00,30,0,0.8
118,Fuzz,Ascendant,248.50,290.00,151.68,29,0,0.64
119,Noxums,Vanguard,248.36,290.00,151.20,29,0,0.8
120,RBD | Toonz,Challengers,246.74,330.00,52.48,33,0,0.41
121,ESTEFY,Vanguard,245.76,300.00,119.20,30,0,0.8
122,xXx,Pinnacle (Highest Skill),243.70,280.00,159.00,28,0,1.0
123,JEK,Emergent,243.43,320.00,64.77,32,0,0.51
124,PRDX_Jokr,Challengers,243.19,320.00,63.96,32,0,0.41
125,0ptical,Pinnacle (Highest Skill),242.70,270.00,179.00,27,0,1.0
126,PGK,Pinnacle (Highest Skill),240.90,270.00,173.00,27,0,1.0
127,Lastcall,Pinnacle (Highest Skill),240.30,270.00,171.00,27,0,1.0
128,TH | BalynceLIVE,Ascendant,239.66,310.00,75.52,31,0,0.64
129,spaceman,Pinnacle (Highest Skill),239.40,270.00,168.00,27,0,1.0
130,iiRonnoc,Ascendant,239.38,300.00,97.92,30,0,0.64
131,chill guy kien,Challengers,239.27,300.00,97.58,30,0,0.41
132,Heret1c,Vanguard,237.60,300.00,92.00,30,0,0.8
133,TwelveGage,Ascendant,237.56,290.00,115.20,29,0,0.64
134,StoneSpy946,Emergent,236.93,300.00,89.76,30,0,0.51
135,ジム,Vanguard,236.84,290.00,112.80,29,0,0.8
136,ThisIsMig | Twitch,Ascendant,236.13,280.00,133.76,28,0,0.64
137,ChaosGoesLive,Emergent,235.82,310.00,62.73,31,0,0.51
138,Indy,Ascendant,235.45,290.00,108.16,29,0,0.64
139,Gas Daddy,Pinnacle (Highest Skill),230.40,210.00,278.00,21,0,1.0
140,NØKK,Pinnacle (Highest Skill),229.70,260.00,159.00,26,0,1.0
141,PRDX_kraknn,Challengers,229.19,300.00,63.96,30,0,0.41
142,G2theRiffin,Challengers,228.45,300.00,61.50,30,0,0.41
143,mauシ,Pinnacle (Highest Skill),228.40,250.00,178.00,25,0,1.0
144,I3otox_,Tendies (Lowest Skill),228.22,300.00,60.72,30,0,0.33
145,FALN | JohnnyK,Challengers,227.22,300.00,57.40,30,0,0.41
146,Goomba on a Roomba,Ascendant,226.44,270.00,124.80,27,0,0.64
147,amon,Vanguard,224.80,280.00,96.00,28,0,0.8
148,Becka,Tendies (Lowest Skill),224.35,300.00,47.85,30,0,0.33
149,Almanymede,Pinnacle (Highest Skill),223.80,240.00,186.00,24,0,1.0
150,FALN | Stats,Challengers,223.29,290.00,67.65,29,0,0.41
151,goodlookingsean,Pinnacle (Highest Skill),222.40,250.00,158.00,25,0,1.0
152,Hurt,Tendies (Lowest Skill),221.71,290.00,62.37,29,0,0.33
153,MattyK3NG,Ascendant,221.38,240.00,177.92,24,0,0.64
154,HA1L RG3,Challengers,220.96,290.00,59.86,29,0,0.41
155,Kolosusx,Emergent,219.10,280.00,77.01,28,0,0.51
156,find0utt_TTV,Ascendant,218.86,260.00,122.88,26,0,0.64
157,Xiums,Vanguard,218.48,260.00,121.60,26,0,0.8
158,J DAWG,Ascendant,218.38,270.00,97.92,27,0,0.64
159,weird fishes,Vanguard,217.56,270.00,95.20,27,0,0.8
160,LAZY3D,Pinnacle (Highest Skill),216.00,240.00,160.00,24,0,1.0
