Rank,Player Name,Total Points,Total Kills,Total Damage
186,///Mikey,86.40,23,0
187,[Experimental AI Bot]29.319.17,86.40,24,0
188,CantGetAway,86.00,11,0
189,HotKnockz,86.00,24,0
190,@ArtemisGG_,85.17,19,0
191,Mootzel,84.66,37,0
192,FSU_TacticalMyst,84.05,26,0
193,Graffix,82.40,8,0
194,TONYPIKACHU,82.40,12,0
195,ZeroGLHF,82.40,11,0
196,Unix_IRL,81.60,17,0
197,chris k,81.00,14,0
198,DEKTA_TTV,80.80,21,0
199,Exillade,80.00,22,0
200,Coveted Yams,79.54,24,0
201,Eppie,79.05,18,0
202,boobert,78.54,44,0
203,Twitch | lAlliegatorl,78.40,16,0
204,fyf,78.40,14,0
205,CG BilliardHorn,77.52,16,0
206,Kolosusx,77.01,28,0
207,Nedlock ネドロック,76.00,17,0
208,:O,75.99,27,0
209,Kitkat >:),75.99,25,0
210,Bolbi Stroganovsky,75.99,22,0
211,TH | BalynceLIVE,75.52,31,0
212,s,75.20,16,0
213,ehayes121,75.03,42,0
214,Frogs,74.46,34,0
215,K1ng13east,74.46,20,0
216,SOAK Palms,74.24,19,0
217,MoistKnight2443,74.21,24,0
218,Bungus Elite,72.42,23,0
219,FTB | Hunkulesss,72.16,27,0
220,FTB | steph,72.16,24,0
221,ayla,71.68,15,0
222,ClarkGriswold,71.68,19,0
223,Cherm,71.40,18,0
224,Karnivorrr,70.52,17,0
225,TheGunner2533,70.52,26,0
226,Majeta23,70.40,8,0
227,furryCheese,70.40,17,0
228,Frijol3s03,69.60,19,0
229,Eddy,69.60,10,0
230,F5 | ntROZE,69.60,21,0
231,ChefMike,69.36,26,0
232,el diablo rojo,69.12,12,0
233,HecTicAstro,69.12,20,0
234,phokkyu,68.85,14,0
235,Potter,68.85,42,0
236,SoleSky,68.85,14,0
237,Pxrmafrxstt,68.00,10,0
238,Haightful,67.84,12,0
239,offkilter,67.84,21,0
240,KfroJenner69,67.84,20,0
241,Diadem2721|Live,67.84,12,0
242,FALN | Stats,67.65,29,0
243,EagleUSA,67.65,27,0
244,Sithopher,67.65,18,0
245,AngryS0da,67.32,23,0
246,Enderphor,67.24,44,0
247,1L Fallen,67.20,19,0
248,LVS_Falcon,66.40,11,0
249,Medic x Frieren,66.40,12,0
250,XEL.Bpsword.Twitch,65.92,14,0
251,CJtoSmooth,65.92,19,0
252,100T sheppyk9,65.67,44,0
253,iiNovationii,65.67,18,0
254,RAGNA_Viper,65.67,43,0
255,DWE TTV Teach Da Youth,65.19,21,0
256,JEK,64.77,32,0
257,TsF MonTy,64.68,27,0
258,Doctor Eloc,64.68,49,0
259,[DAD] Nars Lootbaar,64.68,20,0
260,PRDX_kraknn,63.96,30,0
261,PRDX_Ayywire,63.96,26,0
262,PRDX_Jokr,63.96,32,0
263,laceycs,63.24,20,0
264,ChaosGoesLive,62.73,31,0
265,RBD yonewdaddy,62.73,23,0
266,RBD Hound,62.73,13,0
267,the-optimistic-stoic,62.72,16,0
268,Hurt,62.37,29,0
269,YoTakeItEezy,62.37,16,0
270,uFears,62.37,66,0
271,Figgy14,62.32,25,0
272,MaschidezinTV,62.32,14,0
273,i miss her,61.60,13,0
274,G2theRiffin,61.50,30,0
275,Raz,61.20,23,0
276,Chudbudwalker,61.20,25,0
277,claud,60.72,36,0
278,I3otox_,60.72,30,0
279,Supreme,60.69,20,0
280,impish,60.69,22,0
281,波打つヘッドハンタ,60.00,8,0
282,HA1L RG3,59.86,29,0
283,snowyday_,59.73,24,0
284,x_howdie_x,59.73,47,0
285,negativerush,59.73,19,0
286,AS1AN M1KE,59.45,23,0
287,estrella,59.20,9,0
288,FTB | SliceOfJAO,59.04,19,0
289,SilentRyft,59.00,20,0
290,Beanboy,58.65,24,0
291,Hud,58.65,15,0
292,rrroselia,58.14,13,0
293,@Arise__FPS,58.00,12,0
294,JuiceboxSlays (washed),57.81,38,0
295,AverageDrae,57.81,17,0
296,StingraySlapper,57.81,24,0
297,FALN | JohnnyK,57.40,30,0
298,Tay,55.68,14,0
299,Durxy,55.00,11,0
300,jo_morales7,54.06,8,0
301,JO x claw,54.06,13,0
302,BACKSP4CEッ,54.00,13,0
303,caro,54.00,13,0
304,SolisStreams,53.71,41,0
305,XI PuGz,53.55,27,0
306,Bsteph13,53.30,13,0
307,Apogaeon,52.80,3,0
308,MayBPh8L,52.53,7,0
309,RBD | Toonz,52.48,33,0
310,bookworm669,52.02,22,0
311,BakedPotato1213,51.51,13,0
312,The Real Slim Shady,50.16,43,0
313,DosEquisMan,50.16,37,0
314,zG_Stifle,49.61,36,0
315,Hollenberger,49.60,8,0
316,OpNate,49.28,23,0
317,Medic x HUNTR/X,49.00,7,0
318,A,48.80,14,0
319,Zorro,48.00,11,0
320,mer,47.85,22,0
321,Becka,47.85,30,0
322,MyrtleSquirtle,47.85,28,0
323,Greywaren99,47.56,17,0
324,EXL_LEEROYY,47.20,15,0
325,Astris86,47.00,8,0
326,MikieDelliii,44.88,20,0
327,JackHeDoesIt,44.88,23,0
328,BossBBALLER101,44.88,12,0
329,Rvo,44.80,14,0
330,SlyTitan,44.00,13,0
331,Meepmoe6,43.89,21,0
332,A_MF_Queen,43.56,27,0
333,TTV/Fishiness,43.46,26,0
334,Dom,43.20,10,0
335,Drizzy,43.00,16,0
336,Poptart,42.33,15,0
337,Revy2hands,42.33,14,0
338,OE_MrBr0jangless,42.24,22,0
339,snatched lime9,41.00,8,0
340,splitbomb33,40.18,10,0
341,RG Adam10,39.60,15,0
342,RG_ItsNick,39.60,16,0
343,RG_CPTMurph24,39.60,14,0
344,Miriahkay19,38.13,21,0
345,EXL_KNGKUMO,38.00,10,0
346,EXL_FLYXSS,38.00,2,0
347,narwhal,37.95,21,0
348,A_Fox_With_Sox,37.62,17,0
349,eR4Ticate13,37.62,24,0
350,lonewolf4114,37.62,19,0
351,iklipsa,37.12,19,0
352,groupty,37.00,6,0
353,Keosha,36.63,15,0
354,Krit,36.63,36,0
355,siyoshiwakona,36.21,14,0
356,WhySoSweatyy,35.67,22,0
357,addedayo,35.64,28,0
358,amieable,35.31,15,0
359,Samus54,35.31,17,0
360,Yarfy,34.40,8,0
361,Joe Dirt,33.28,6,0
362,NuTTy,33.00,8,0
363,SpectacularlyAvg,32.39,19,0
364,JRobx,32.39,15,0
365,Jack,32.34,36,0
366,Sammie,32.34,9,0
367,Prosperitv,32.34,17,0
368,mildly boof,32.01,14,0
369,Slim_Thor on twitch,32.01,18,0
370,Kbertabifida,32.01,16,0
371,Moolboyrk,32.00,4,0
372,FSC | shape,31.68,14,0
373,FSC | SantaKlaus,31.68,29,0
374,FSC | Fishiness,31.68,21,0
375,Keko75FTW,31.35,23,0
376,Nilak,31.35,5,0
377,KindKitten14,31.20,8,0
378,ZorraAssassin,31.20,10,0
379,DirtyVerdy_,31.02,18,0
380,o7 o7 o7,31.00,5,0
381,Broom,31.00,4,0
382,avoid,30.00,10,0
383,Kozmohs1,30.00,9,0
384,h u s k y,29.70,12,0
385,RetroMrLiquid,29.70,7,0
386,CheezySlice,29.70,21,0
387,CasualRobi,29.60,6,0
388,FALN | cwelk,29.52,12,0
389,Luzer,29.07,7,0
390,Arc_PC,29.00,5,0
391,DunnoU,29.00,1,0
392,tso,29.00,2,0
393,mind goblin,28.80,8,0
394,WarsZ,28.80,2,0
395,JFairo,28.80,12,0
396,OE_remydees,28.05,19,0
397,Deltuh,28.00,7,0
398,Inoriboob,28.00,7,0
399,SpaceGhostXero,28.00,7,0
400,Nyamea,27.20,3,0
401,@YoJokerz,27.00,6,0
402,TTV Bubble,26.40,3,0
403,Childish,26.40,11,0
404,MHM_MrBr0janglessTTV,26.40,6,0
405,ENCRYPTED8704,26.24,4,0
406,gruesome_b1,26.01,4,0
407,dash in retirement,26.00,6,0
408,Evoke,26.00,3,0
409,OE_UselessRoyalty,25.74,10,0
410,angrySandy,25.50,4,0
411,JustVibing4829,25.00,2,0
412,nathanbradley54,24.60,2,0
413,No Brain,24.00,7,0
414,m3a0w,24.00,3,0
415,CG honeybee aries,23.20,4,0
416,twitch.tv/ruiin999,23.00,8,0
417,JustTam1r-TTV,22.96,10,0
418,HTL Danikay,22.11,4,0
419,ジマー,22.00,3,0
420,Uorax,22.00,4,0
421,RedTerror,21.93,10,0
422,AP985,21.73,4,0
423,l0tusStar,21.60,3,0
424,WALLSHIFT,21.60,1,0
425,rukaaiscool556,20.00,3,0
426,Kaezuh,20.00,7,0
427,Natems1717,19.20,0,0
428,ac__ca\vt.hctiwt,18.00,3,0
429,Croh,17.82,6,0
430,Deadbok_666,17.82,3,0
431,ramshackle786,17.16,5,0
432,ctrl,17.00,3,0
433,alphabet,16.50,11,0
434,Gible,16.50,13,0
435,Monke,16.50,6,0
436,OverratedMax,16.00,0,0
437,BlueGreek,15.36,4,0
438,TTV | Astris86,15.36,10,0
439,SwiftieC,14.52,4,0
440,7157-8414-2998 on Pokemon Go,14.28,3,0
441,PING CRUSADER,14.00,2,0
442,Droptimus Prime ツ,13.77,6,0
443,swagstrfather420,13.12,5,0
444,harry,12.80,7,0
445,lookn4ahopup,12.24,2,0
446,hyper o7,12.00,4,0
447,MissingJibbs,11.73,4,0
448,Lime Grass 0,11.22,3,0
449,Huntingfool,11.22,2,0
450,Aquamarine,11.20,3,0
451,Secrets™,11.00,2,0
452,Big Daddy Busch,10.66,6,0
453,GN700TM,9.90,2,0
454,QWERTY,9.60,1,0
455,Kerckhaert,9.24,1,0
456,l Belfour l20l,9.24,4,0
457,zewski,9.18,4,0
458,tuna!,9.00,1,0
459,iButterMyBreadWB,9.00,0,0
460,DareOGK on Twitch,9.00,1,0
461,Jubella,8.61,1,0
462,gmail@ec_doom.com,8.25,0,0
463,DreadWolf303,8.25,1,0
464,QP,8.00,1,0
465,Heathclips_,7.65,1,0
466,DangrClxse,6.97,2,0
467,Nando,6.63,4,0
468,Sam,6.56,5,0
469,TexasTrash9,5.61,1,0
470,RogueKielbasa,4.08,0,0
471,OE Hoodie,2.64,0,0
472,ice tickle,2.40,0,0
473,Toasty,2.00,0,0
474,萧瑟,2.00,1,0
475,xJBeach,1.53,0,0
476,IVIonty,1.53,1,0
477,IGY6 theeJambro,1.00,0,0
478,WaBBiT,0.00,0,0
