Rank,Player Name,Total Points,Kills,Damage
310,MaschidezinTV,131.51,14,0
311,Sleeping,130.00,11,0
312,RG_ItsNick,129.74,16,0
313,EXL_LEEROYY,128.18,15,0
314,DASLEDGEHAMMER,127.40,7,0
315,CantGetAway,127.40,11,0
316,Tay,127.19,14,0
317,TheHeuman,125.45,9,0
318,RBD Hound,125.27,13,0
319,ZeroGLHF,125.06,11,0
320,Poptart,125.01,15,0
321,Kbertabifida,124.81,16,0
322,i miss her,124.54,13,0
323,AmericanMan,124.28,10,0
324,RG Adam10,123.24,15,0
325,el diablo rojo,122.93,12,0
326,A,122.72,14,0
327,rrroselia,122.29,13,0
328,Haightful,122.10,12,0
329,Diadem2721|Live,122.10,12,0
330,Keosha,121.31,15,0
331,Medic x Frieren,121.16,12,0
332,amieable,120.45,15,0
333,Rvo,120.12,14,0
334,F5 | Stabjackal TTV,119.81,8,0
335,JO x claw,119.64,13,0
336,BACKSP4CEッ,119.60,13,0
337,caro,119.60,13,0
338,Bsteph13,119.14,13,0
339,JRobx,118.55,15,0
340,Revy2hands,118.51,14,0
341,BakedPotato1213,117.98,13,0
342,RG_CPTMurph24,116.74,14,0
343,MJ5044,116.64,7,0
344,Eclipsie13,116.22,9,0
345,@Arise__FPS,115.70,12,0
346,m2,114.92,8,0
347,LVS_Falcon,114.66,11,0
348,siyoshiwakona,114.54,14,0
349,SlyTitan,113.10,13,0
350,mildly boof,111.81,14,0
351,FSC | shape,111.59,14,0
352,Eddy,110.24,10,0
353,Pxrmafrxstt,109.20,10,0
354,Durxy,107.25,11,0
355,BossBBALLER101,107.17,12,0
356,Graffix,105.56,8,0
357,zCrackdown,105.30,5,0
358,Zorro,102.70,11,0
359,Majeta23,97.76,8,0
360,h u s k y,97.31,12,0
361,FALN | cwelk,97.19,12,0
362,estrella,96.98,9,0
363,JFairo,96.72,12,0
364,Gible,95.22,13,0
365,Dom,93.08,10,0
366,splitbomb33,91.12,10,0
367,波打つヘッドハンタ,91.00,8,0
368,EXL_KNGKUMO,89.70,10,0
369,Childish,88.66,11,0
370,jo_morales7,87.14,8,0
371,ZorraAssassin,85.28,10,0
372,avoid,84.50,10,0
373,Hollenberger,84.24,8,0
374,Astris86,82.55,8,0
375,alphabet,82.22,11,0
376,OE_UselessRoyalty,81.73,10,0
377,JustTam1r-TTV,79.92,10,0
378,MayBPh8L,79.64,7,0
379,Sammie,79.52,9,0
380,RedTerror,79.25,10,0
381,snatched lime9,78.65,8,0
382,Kozmohs1,78.00,9,0
383,Medic x HUNTR/X,77.35,7,0
384,TTV | Astris86,74.98,10,0
385,Yarfy,74.36,8,0
386,NuTTy,73.45,8,0
387,KindKitten14,72.28,8,0
388,mind goblin,70.72,8,0
389,twitch.tv/ruiin999,66.95,8,0
390,RetroMrLiquid,64.81,7,0
391,Luzer,64.40,7,0
392,Deltuh,63.70,7,0
393,Inoriboob,63.70,7,0
394,SpaceGhostXero,63.70,7,0
395,groupty,63.05,6,0
396,No Brain,61.10,7,0
397,Joe Dirt,60.63,6,0
398,Kaezuh,58.50,7,0
399,CasualRobi,58.24,6,0
400,@YoJokerz,56.55,6,0
401,MHM_MrBr0janglessTTV,56.16,6,0
402,dash in retirement,55.90,6,0
403,Apogaeon,53.82,3,0
404,harry,53.82,7,0
405,Nilak,52.88,5,0
406,o7 o7 o7,52.65,5,0
407,Arc_PC,51.35,5,0
408,Croh,50.58,6,0
409,Monke,49.73,6,0
410,Droptimus Prime ツ,47.95,6,0
411,Moolboyrk,46.80,4,0
412,Broom,46.15,4,0
413,Big Daddy Busch,45.93,6,0
414,ramshackle786,43.65,5,0
415,ENCRYPTED8704,43.06,4,0
416,gruesome_b1,42.91,4,0
417,angrySandy,42.58,4,0
418,CG honeybee aries,41.08,4,0
419,swagstrfather420,41.03,5,0
420,HTL Danikay,40.37,4,0
421,Uorax,40.30,4,0
422,AP985,40.12,4,0
423,EXL_FLYXSS,37.70,2,0
424,Nyamea,37.18,3,0
425,Sam,36.76,5,0
426,TTV Bubble,36.66,3,0
427,Evoke,36.40,3,0
428,BlueGreek,35.98,4,0
429,SwiftieC,35.44,4,0
430,m3a0w,35.10,3,0
431,ジマー,33.80,3,0
432,hyper o7,33.80,4,0
433,MissingJibbs,33.62,4,0
434,l0tusStar,33.54,3,0
435,rukaaiscool556,32.50,3,0
436,l Belfour l20l,32.01,4,0
437,zewski,31.97,4,0
438,tso,31.85,2,0
439,WarsZ,31.72,2,0
440,ac__ca\vt.hctiwt,31.20,3,0
441,Deadbok_666,31.08,3,0
442,ctrl,30.55,3,0
443,Nando,30.31,4,0
444,JustVibing4829,29.25,2,0
445,nathanbradley54,28.99,2,0
446,7157-8414-2998 on Pokemon Go,28.78,3,0
447,Lime Grass 0,26.79,3,0
448,Aquamarine,26.78,3,0
449,DunnoU,25.35,1,0
450,PING CRUSADER,22.10,2,0
451,lookn4ahopup,20.96,2,0
452,WALLSHIFT,20.54,1,0
453,Huntingfool,20.29,2,0
454,Secrets™,20.15,2,0
455,GN700TM,19.44,2,0
456,DangrClxse,17.53,2,0
457,QWERTY,12.74,1,0
458,Kerckhaert,12.51,1,0
459,Natems1717,12.48,0,0
460,tuna!,12.35,1,0
461,DareOGK on Twitch,12.35,1,0
462,Jubella,12.10,1,0
463,DreadWolf303,11.86,1,0
464,QP,11.70,1,0
465,Heathclips_,11.47,1,0
466,OverratedMax,10.40,0,0
467,TexasTrash9,10.15,1,0
468,萧瑟,7.80,1,0
469,IVIonty,7.49,1,0
470,iButterMyBreadWB,5.85,0,0
471,gmail@ec_doom.com,5.36,0,0
472,RogueKielbasa,2.65,0,0
473,OE Hoodie,1.72,0,0
474,ice tickle,1.56,0,0
475,Toasty,1.30,0,0
476,xJBeach,0.99,0,0
477,IGY6 theeJambro,0.65,0,0
478,WaBBiT,0.00,0,0
