Rank,Player Name,Division,Total Weighted Points,Raw Points,Total Kills,Total Damage,Lobby,Lobby Weight
1,Anteatter,Pinnacle (Highest Skill),408.00,408,92,0,1,1.0
2,LUMI,Pinnacle (Highest Skill),408.00,408,72,0,1,1.0
3,lumdum,Pinnacle (Highest Skill),296.00,296,55,0,1,1.0
4,Dvpaper,Pinnacle (Highest Skill),285.00,285,33,0,1,1.0
5,seeby,Pinnacle (Highest Skill),279.00,279,50,0,1,1.0
6,Gas Daddy,Pinnacle (Highest Skill),278.00,278,21,0,1,1.0
7,Bleachh,Pinnacle (Highest Skill),278.00,278,69,0,1,1.0
8,Lau,Pinnacle (Highest Skill),264.00,264,33,0,1,1.0
9,BrodE,Pinnacle (Highest Skill),258.00,258,58,0,1,1.0
10,twitch.tv/kozmohs,Pinnacle (Highest Skill),255.00,255,68,0,1,1.0
11,DarkApex,Pinnacle (Highest Skill),255.00,255,34,0,1,1.0
12,Dare,Pinnacle (Highest Skill),247.00,247,67,0,1,1.0
13,TNL_Colt,Pinnacle (Highest Skill),246.00,246,63,0,1,1.0
14,OzWaldo,Pinnacle (Highest Skill),246.00,246,47,0,1,1.0
15,LeaderOfTheBees,Pinnacle (Highest Skill),246.00,246,41,0,1,1.0
16,Todo_apex,Pinnacle (Highest Skill),244.00,244,40,0,1,1.0
17,Zboy5z5,Pinnacle (Highest Skill),237.00,237,30,0,1,1.0
18,Zaphyツ,Pinnacle (Highest Skill),232.00,232,56,0,1,1.0
19,Shouli,Pinnacle (Highest Skill),229.00,229,38,0,1,1.0
