Rank,Player Name,Division,Final Score (50/50),Individual Score,Team Score,Kills,Damage,Lobby Weight
1,Anteatter,Pinnacle (Highest Skill),664.00,920.00,408.00,92,0,1.0
2,LUMI,Pinnacle (Highest Skill),564.00,720.00,408.00,72,0,1.0
3,KindlyMonkey,Emergent,490.99,830.00,151.98,83,0,0.51
4,GRO gLow,Emergent,490.84,820.00,161.67,82,0,0.51
5,Bleachh,Pinnacle (Highest Skill),484.00,690.00,278.00,69,0,1.0
6,FairestOne617,Challengers,474.25,830.00,118.49,83,0,0.41
7,twitch.tv/kozmohs,Pinnacle (Highest Skill),467.50,680.00,255.00,68,0,1.0
8,Dare,Pinnacle (Highest Skill),458.50,670.00,247.00,67,0,1.0
9,AiymAPotato,Ascendant,454.64,700.00,209.28,70,0,0.64
10,Hylandbound,Challengers,451.55,760.00,143.09,76,0,0.41
11,Dusterbia,Ascendant,439.64,670.00,209.28,67,0,0.64
12,TNL_Colt,Pinnacle (Highest Skill),438.00,630.00,246.00,63,0,1.0
13,lumdum,Pinnacle (Highest Skill),423.00,550.00,296.00,55,0,1.0
14,BrodE,Pinnacle (Highest Skill),419.00,580.00,258.00,58,0,1.0
15,KindKitten13,Vanguard,397.20,620.00,174.40,62,0,0.8
16,Zaphyツ,Pinnacle (Highest Skill),396.00,560.00,232.00,56,0,1.0
17,NickatNi7e,Challengers,390.14,670.00,110.29,67,0,0.41
18,seeby,Pinnacle (Highest Skill),389.50,500.00,279.00,50,0,1.0
19,DaS8157,Emergent,382.38,650.00,114.75,65,0,0.51
20,Phoenix.MLNT,Ascendant,379.40,570.00,188.80,57,0,0.64
21,Hawkeye2552,Challengers,379.16,630.00,128.33,63,0,0.41
22,NightNight.MLNT,Ascendant,374.40,560.00,188.80,56,0,0.64
23,Groliver86,Ascendant,363.24,530.00,196.48,53,0,0.64
24,uFears,Tendies (Lowest Skill),361.19,660.00,62.37,66,0,0.33
25,OzWaldo,Pinnacle (Highest Skill),358.00,470.00,246.00,47,0,1.0
26,Protogen Pawjob,Ascendant,351.44,580.00,122.88,58,0,0.64
27,shueisha,Challengers,350.60,570.00,131.20,57,0,0.41
28,BigBen1248,Ascendant,347.56,530.00,165.12,53,0,0.64
29,Lame A Train,Challengers,344.25,570.00,118.49,57,0,0.41
30,Nopes Ropes,Ascendant,341.88,550.00,133.76,55,0,0.64
31,ImSh1ny,Ascendant,335.84,520.00,151.68,52,0,0.64
32,Regen,Emergent,335.59,560.00,111.18,56,0,0.51
33,Oshe,Emergent,330.84,500.00,161.67,50,0,0.51
34,Skratchd_,Ascendant,330.28,530.00,130.56,53,0,0.64
35,LeaderOfTheBees,Pinnacle (Highest Skill),328.00,410.00,246.00,41,0,1.0
36,Omnipotene,Pinnacle (Highest Skill),326.00,500.00,152.00,50,0,1.0
37,Todo_apex,Pinnacle (Highest Skill),322.00,400.00,244.00,40,0,1.0
38,Saaaber,Challengers,319.32,530.00,108.65,53,0,0.41
39,FSU_IamAtomicTV,Challengers,314.32,520.00,108.65,52,0,0.41
40,zourafa12,Emergent,312.79,520.00,105.57,52,0,0.51
41,kat,Emergent,310.99,470.00,151.98,47,0,0.51
